inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:2,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:2,imports:3,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:1,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:1,employed_persons:1,external_debt:3,gdp_constant:3,gold_reserves:1,tourism_revenue:2,unemployment_rate:3
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:1,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:1
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:2,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:1,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:1
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:2,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,employed_persons:2,external_debt:3,gdp_constant:2,gold_reserves:1,tourism_revenue:3,unemployment_rate:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:1,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,employed_persons:1,external_debt:3,gdp_constant:2,gold_reserves:1,tourism_revenue:3,unemployment_rate:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3,employed_persons:1,external_debt:3,gdp_constant:3,gold_reserves:1,tourism_revenue:3,unemployment_rate:3,gdp:3,population:3
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:2,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,employed_persons:2,external_debt:3,gdp_constant:2,gold_reserves:1,tourism_revenue:3,unemployment_rate:3
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:3,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:3
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:1,min_wage:3,mining_prod:1,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,employed_persons:2,external_debt:3,gdp_constant:3,gold_reserves:1,tourism_revenue:3,unemployment_rate:3
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:3,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,employed_persons:3,external_debt:3,gdp_constant:3,gold_reserves:1,tourism_revenue:3,unemployment_rate:3
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:2,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:3,foreign_reserves:3,imports:3,industrial_prod_mom:1,interest_rate:3,manufacturing_prod:3,min_wage:3,mining_prod:3,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:2,foreign_reserves:3,imports:3,industrial_prod_mom:2,interest_rate:3,manufacturing_prod:2,min_wage:3,mining_prod:3,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2,external_debt:3,gdp_constant:3,gold_reserves:1,tourism_revenue:3,population:3
inflation_mom:2,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:2,foreign_reserves:3,imports:3,interest_rate:3,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:1,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:2,foreign_reserves:3,imports:3,interest_rate:3,money_supply_m1:3,money_supply_m2:3,money_supply_m3:3,rent_inflation:2
inflation_mom:3,cpi_housing:3,cpi_transport:3,cpi:3,exports:3,food_inflation:2,imports:3,interest_rate:2,rent_inflation:2
